data,hora_inicio,duracao_segundos
2024-12-12,23:10:02,72.91
2024-12-12,23:11:17,73.84
2024-12-12,23:12:33,86.55
2024-12-12,23:14:01,75.63
2024-12-13,20:31:57,73.97
2024-12-13,20:33:13,69.60
2024-12-13,20:43:03,83.80
2024-12-13,20:44:29,76.91
2024-12-13,20:45:48,94.62
2024-12-13,20:47:25,75.69
2024-12-13,20:48:42,71.06
2024-12-13,20:49:55,76.35
2024-12-13,20:51:14,82.14
2024-12-13,20:52:38,68.71
2024-12-13,20:53:49,78.23
2024-12-13,20:55:09,77.22
2024-12-13,20:56:28,78.43
2024-12-13,20:57:48,75.63
2024-12-13,20:59:06,78.90
2024-12-13,21:00:27,76.68
2024-12-13,21:01:46,70.95
2024-12-13,21:02:59,66.90
2024-12-13,21:04:08,75.82
2024-12-13,21:05:25,86.66
2024-12-13,21:06:54,73.89
2024-12-13,21:08:10,90.89
2024-12-13,21:09:43,68.35
2024-12-13,21:10:53,73.04
2024-12-13,21:12:08,78.78
2024-12-13,21:13:29,77.82
2024-12-13,21:14:49,73.17
2024-12-13,21:16:04,73.39
2024-12-13,21:17:19,74.14
2024-12-13,21:18:36,81.16
2024-12-13,21:19:59,75.68
2024-12-13,21:21:16,73.57
2024-12-13,21:22:32,80.65
2024-12-13,21:23:55,72.64
2024-12-13,22:06:48,81.12
2024-12-13,22:08:11,70.74
2024-12-13,22:09:24,73.59
2024-12-13,22:10:39,78.80
2024-12-13,22:14:11,80.36
2024-12-13,22:15:33,76.28
2024-12-13,22:16:51,68.75
2024-12-13,22:18:02,75.66
2024-12-13,22:19:20,77.27
2024-12-13,22:20:39,70.51
2024-12-13,22:21:52,82.70
2024-12-13,22:23:16,74.44
2024-12-13,22:24:33,84.32
2024-12-13,22:25:59,73.13
2024-12-13,22:27:14,81.29
2024-12-13,22:28:38,71.13
2024-12-13,22:29:51,76.43
2024-12-13,22:31:09,81.07
2024-12-13,22:32:32,98.04
2024-12-13,22:34:12,77.14
2024-12-13,22:35:31,84.29
2024-12-13,22:36:58,82.14
2024-12-13,22:38:22,96.27
2024-12-13,22:40:00,80.64
2024-12-13,22:41:23,72.69
2024-12-13,22:42:37,78.89
2024-12-13,22:43:58,76.54
2024-12-13,22:45:17,74.49
2024-12-13,22:46:33,81.33
2024-12-13,22:47:57,82.00
2024-12-13,22:49:21,74.53
2024-12-13,22:50:37,75.65
2024-12-13,22:51:55,89.25
2024-12-13,22:53:26,79.60
2024-12-13,22:54:48,10.06
2024-12-13,22:55:00,10.04
2024-12-13,22:55:12,10.04
2024-12-13,22:55:24,10.05
2024-12-13,22:55:36,10.02
2024-12-13,22:55:48,10.05
2024-12-13,22:56:00,10.02
2024-12-13,22:56:12,10.06
2024-12-13,22:56:24,10.03
2024-12-13,22:56:36,10.04
2024-12-13,22:56:48,10.00
2024-12-13,22:57:00,10.05
2024-12-13,22:57:12,10.04
2024-12-13,22:57:24,10.06
2024-12-13,22:57:36,10.08
2024-12-13,22:57:48,10.07
2024-12-13,22:58:00,10.08
2024-12-13,22:58:13,10.04
2024-12-13,22:58:25,10.06
2024-12-13,22:58:37,10.06
2024-12-13,22:58:49,10.01
2024-12-13,22:59:01,10.06
2024-12-13,22:59:13,10.03
2024-12-13,22:59:25,10.04
2024-12-13,22:59:37,10.00
2024-12-13,22:59:49,10.07
2024-12-13,23:00:01,10.07
2024-12-13,23:00:13,10.07
2024-12-13,23:00:25,10.04
2024-12-13,23:00:37,10.05
2024-12-13,23:00:49,10.01
2024-12-13,23:01:01,10.08
2024-12-13,23:01:13,10.06
2024-12-13,23:01:25,10.07
2024-12-13,23:01:37,10.02
2024-12-13,23:01:49,10.01
2024-12-13,23:02:01,10.06
2024-12-13,23:02:13,10.01
2024-12-13,23:02:25,10.05
2024-12-13,23:02:38,10.02
2024-12-13,23:02:50,10.05
2024-12-13,23:05:05,210.38
2024-12-13,23:08:37,182.27
2024-12-13,23:11:42,204.10
2024-12-13,23:15:08,175.02
2024-12-13,23:18:05,169.14
2024-12-13,23:20:56,247.86
2024-12-13,23:25:06,212.93
2024-12-13,23:28:41,220.75
2024-12-13,23:32:24,207.07
2024-12-13,23:35:53,182.52
2024-12-13,23:38:57,197.21
2024-12-13,23:42:16,206.04
2024-12-13,23:45:44,243.69
2024-12-13,23:49:50,176.01
2024-12-13,23:52:48,202.93
2024-12-13,23:56:13,201.24
2024-12-14,23:59:36,183.57
2024-12-14,04:14:26,76.08
2024-12-14,04:15:44,113.49
2024-12-14,04:17:40,73.73
2024-12-14,04:18:55,65.95
2024-12-14,04:20:03,75.72
2024-12-14,04:21:21,70.36
2024-12-14,04:22:34,66.46
2024-12-14,04:23:42,73.40
2024-12-14,04:24:57,62.83
2024-12-14,04:26:02,10.00
2024-12-14,04:26:14,10.05
2024-12-14,04:26:26,10.03
2024-12-14,04:26:38,10.04
2024-12-14,04:26:50,10.08
2024-12-14,04:27:02,10.04
2024-12-14,04:27:14,10.07
2024-12-14,04:27:27,10.02
2024-12-14,04:27:39,10.07
2024-12-14,04:27:51,10.07
2024-12-14,04:28:03,10.07
2024-12-14,04:28:15,10.08
2024-12-14,04:28:27,10.05
2024-12-14,04:28:39,10.02
2024-12-14,04:28:51,10.03
2024-12-14,04:29:03,10.01
2024-12-14,04:29:15,10.05
2024-12-14,04:29:27,10.01
2024-12-14,04:29:39,10.07
2024-12-14,04:29:51,10.04
2024-12-14,04:30:03,10.02
2024-12-14,04:30:15,10.03
2024-12-14,04:30:27,10.05
2024-12-14,04:30:39,10.04
2024-12-14,04:30:51,10.07
2024-12-14,04:31:03,10.03
2024-12-14,04:31:15,10.06
2024-12-14,04:31:46,71.11
2024-12-14,04:33:20,80.83
2024-12-14,04:34:42,73.95
2024-12-14,04:35:58,70.89
2024-12-14,04:37:11,68.85
2024-12-14,04:38:22,71.92
2024-12-14,04:39:36,64.60
2024-12-14,04:40:43,67.16
2024-12-14,04:41:52,76.16
2024-12-14,04:43:10,69.37
2024-12-14,04:44:21,67.94
2024-12-14,04:45:31,71.83
2024-12-14,04:46:45,69.37
2024-12-14,04:47:57,67.35
2024-12-14,04:49:06,69.16
2024-12-14,04:50:17,71.69
2024-12-14,04:51:31,73.92
2024-12-14,04:52:47,75.73
2024-12-14,04:54:04,89.25
2024-12-14,04:55:36,69.66
2024-12-14,04:56:47,69.65
2024-12-14,04:57:59,69.59
2024-12-14,04:59:11,79.29
2024-12-14,05:00:32,75.61
2024-12-14,05:01:49,74.28
2024-12-14,05:03:06,68.65
2024-12-14,05:04:16,73.61
2024-12-14,05:05:32,74.56
2024-12-14,05:06:49,91.15
2024-12-14,05:08:22,69.96
2024-12-14,05:09:34,66.97
2024-12-14,05:10:43,64.68
2024-12-14,05:11:49,71.97
2024-12-14,05:13:03,62.48
2024-12-14,05:14:08,10.05
2024-12-14,05:14:20,10.01
2024-12-14,05:14:32,10.02
2024-12-14,05:14:44,10.05
2024-12-14,05:14:56,10.07
2024-12-14,05:15:08,10.02
2024-12-14,05:15:20,10.03
2024-12-14,05:15:32,10.04
2024-12-14,05:15:44,10.00
2024-12-14,05:15:56,10.05
2024-12-14,05:16:08,10.02
2024-12-14,05:16:20,10.01
2024-12-14,05:16:32,10.02
2024-12-14,05:16:44,10.04
2024-12-14,05:16:56,10.03
2024-12-14,05:17:08,10.06
2024-12-14,05:17:20,10.02
2024-12-14,05:17:32,10.06
2024-12-14,05:17:44,10.07
2024-12-14,05:17:56,10.06
2024-12-14,05:18:09,10.03
2024-12-14,05:18:21,10.07
2024-12-14,05:18:33,10.00
2024-12-14,05:18:45,10.06
2024-12-14,05:18:57,10.02
2024-12-14,05:19:09,10.06
2024-12-14,05:19:21,10.02
2024-12-14,05:19:33,10.04
2024-12-14,05:19:45,10.04
2024-12-14,05:19:57,10.00
2024-12-14,05:20:09,10.02
2024-12-14,05:20:21,10.01
2024-12-14,05:20:33,10.04
2024-12-14,05:20:45,10.02
2024-12-14,05:20:57,10.02
2024-12-14,05:21:09,10.01
2024-12-14,05:21:21,10.07
2024-12-14,05:21:33,10.05
2024-12-14,05:21:45,10.02
2024-12-14,05:21:57,10.07
2024-12-14,05:22:09,10.03
2024-12-14,05:22:21,10.06
2024-12-14,05:22:33,10.05
2024-12-14,05:22:45,10.06
2024-12-14,05:22:57,10.02
2024-12-14,05:23:09,10.05
2024-12-14,05:23:21,10.02
2024-12-14,05:23:33,10.01
2024-12-14,05:23:46,10.01
2024-12-14,05:23:58,10.04
2024-12-14,05:24:10,10.03
2024-12-14,05:24:22,10.06
2024-12-14,05:24:34,10.05
2024-12-14,05:24:46,10.05
2024-12-14,05:24:58,10.06
2024-12-14,05:25:10,10.05
2024-12-14,05:25:22,10.05
2024-12-14,05:25:34,10.04
2024-12-14,05:25:46,10.05
2024-12-14,05:25:58,10.02
2024-12-14,05:26:10,10.06
2024-12-14,05:26:22,10.07
2024-12-14,05:26:34,10.02
2024-12-14,05:26:46,10.07
2024-12-14,05:26:58,10.02
2024-12-14,05:27:10,10.06
2024-12-14,05:27:22,10.04
2024-12-14,05:27:34,10.05
2024-12-14,05:27:46,10.04
2024-12-14,05:27:58,10.01
2024-12-14,05:28:10,10.06
2024-12-14,05:28:23,10.06
2024-12-14,05:28:35,10.06
2024-12-14,05:28:47,10.07
2024-12-14,05:28:59,10.05
2024-12-14,05:29:11,10.04
2024-12-14,05:29:23,10.07
2024-12-14,05:29:35,10.07
2024-12-14,05:29:47,10.06
2024-12-14,05:29:59,10.03
2024-12-14,05:30:11,10.01
2024-12-14,05:30:23,10.06
2024-12-14,05:30:35,10.06
2024-12-14,05:30:47,10.02
2024-12-14,05:30:59,10.06
2024-12-14,05:31:11,10.06
2024-12-14,05:31:23,10.03
2024-12-14,05:31:35,10.06
2024-12-14,05:31:47,10.02
2024-12-14,05:31:59,10.05
2024-12-14,05:32:11,10.06
2024-12-14,05:32:24,10.04
2024-12-14,05:32:36,10.04
2024-12-14,05:32:48,10.03
2024-12-14,05:33:00,10.02
2024-12-14,05:33:12,10.00
2024-12-14,05:33:24,10.07
2024-12-14,05:33:36,10.06
2024-12-14,05:33:48,10.02
2024-12-14,05:34:00,10.01
2024-12-14,05:34:12,10.02
2024-12-14,05:34:24,10.05
2024-12-14,05:34:36,10.06
2024-12-14,05:34:48,10.03
2024-12-14,05:35:00,10.07
2024-12-14,05:35:12,10.02
2024-12-14,05:35:24,10.02
2024-12-14,05:35:36,10.01
2024-12-14,05:35:48,10.02
2024-12-14,05:36:00,10.00
2024-12-14,05:36:12,10.03
2024-12-14,05:36:24,10.02
2024-12-14,05:36:36,10.06
2024-12-14,05:36:48,10.01
2024-12-14,05:37:00,10.07
2024-12-14,05:37:12,10.06
2024-12-14,05:37:24,10.03
2024-12-14,05:37:36,10.04
2024-12-14,05:37:49,10.02
2024-12-14,05:38:01,10.07
2024-12-14,05:38:13,10.02
2024-12-14,05:38:25,10.03
2024-12-14,05:38:37,10.04
2024-12-14,05:40:51,179.91
2024-12-14,05:43:53,181.68
2024-12-14,05:46:57,222.84
2024-12-14,05:50:42,194.38
2024-12-14,05:53:58,178.38
2024-12-14,05:56:59,209.79
2024-12-14,06:00:30,178.18
2024-12-14,06:03:30,202.08
2024-12-14,06:06:55,215.21
2024-12-14,06:10:32,188.99
2024-12-14,06:13:43,169.43
2024-12-14,06:16:34,192.18
2024-12-14,06:19:48,205.20
2024-12-14,06:23:16,232.06
2024-12-14,06:27:10,215.45
2024-12-14,06:30:47,180.91
2024-12-14,06:33:50,183.51
2024-12-14,06:36:55,195.05
2024-12-14,06:40:13,175.59
2024-12-14,06:43:10,196.90
2024-12-14,06:46:29,219.31
2024-12-14,06:50:10,190.17
2024-12-14,06:53:23,193.91
2024-12-14,06:56:38,258.96
2024-12-14,07:00:59,208.75
2024-12-14,07:04:30,196.94
2024-12-14,07:07:49,181.94
2024-12-14,07:10:53,204.55
2024-12-14,07:14:20,215.24
2024-12-14,07:17:57,201.95
2024-12-14,07:21:21,141.79
2024-12-14,07:23:45,208.05
2024-12-14,07:27:15,200.77
2024-12-14,07:30:37,191.74
2024-12-14,07:33:51,216.41
2024-12-14,07:37:30,231.96
2024-12-14,07:41:23,194.36
2024-12-14,07:44:40,174.94
2024-12-14,07:47:37,194.21
2024-12-14,07:50:53,195.60
2024-12-14,07:54:11,213.27
2024-12-14,07:57:46,198.22
2024-12-14,08:01:06,210.55
2024-12-14,08:04:39,181.97
2024-12-14,08:07:43,177.42
2024-12-14,08:10:42,216.36
2024-12-14,08:14:20,241.24
2024-12-14,08:18:24,193.68
2024-12-14,08:21:39,220.73
2024-12-14,08:25:22,188.15
2024-12-14,08:28:32,172.15
2024-12-14,08:31:26,205.44
2024-12-14,08:34:54,209.85
2024-12-14,08:38:26,191.03
2024-12-14,08:41:39,217.81
2024-12-14,08:45:18,211.03
2024-12-14,08:48:52,182.65
2024-12-14,08:51:56,203.28
2024-12-14,08:55:21,181.03
2024-12-14,08:58:24,182.41
2024-12-14,09:01:29,217.21
2024-12-14,09:05:08,213.31
2024-12-14,09:08:43,188.57
2024-12-14,09:11:54,192.01
2024-12-14,09:15:08,183.05
2024-12-14,09:18:13,181.18
2024-12-14,09:21:16,203.55
2024-12-14,09:24:42,233.65
2024-12-14,09:28:37,216.34
2024-12-14,09:32:16,213.37
2024-12-14,09:35:51,194.88
2024-12-14,09:39:08,197.29
2024-12-14,09:42:27,199.31
2024-12-14,09:45:49,216.97
2024-12-14,09:49:28,201.57
2024-12-14,09:52:51,175.07
2024-12-14,09:55:48,205.30
2024-12-14,09:59:16,200.03
2024-12-14,10:02:38,235.17
2024-12-14,10:06:35,232.46
2024-12-14,10:10:29,197.60
2024-12-14,10:13:49,223.53
2024-12-14,10:17:34,204.09
2024-12-14,10:21:00,186.27
2024-12-14,10:24:09,227.59
2024-12-14,10:27:58,180.13
2024-12-14,10:31:00,145.22
2024-12-14,10:33:28,10.05
2024-12-14,10:33:40,10.04
2024-12-14,10:33:52,10.01
2024-12-14,10:34:04,10.01
2024-12-14,10:34:16,10.07
2024-12-14,10:34:28,10.01
2024-12-14,10:34:40,10.04
2024-12-14,10:34:52,10.03
2024-12-14,10:35:04,10.06
2024-12-14,10:35:16,10.07
2024-12-14,10:35:28,10.01
2024-12-14,10:35:40,10.01
2024-12-14,10:35:52,10.04
2024-12-14,10:36:04,10.00
2024-12-14,10:36:16,10.06
2024-12-14,10:36:28,10.02
